         TOF        Yobs    sYobs        Ycal     YcalBad
    16026.24    21125.00    03070    23507.00   782750.00
    16034.25    24917.00    03246    23846.00   928320.00
    16042.26    29901.00    03449    24398.00  1001160.00
    16050.28    27628.00    03364    25415.00   986690.00
    16058.30    29038.00    03427    27473.00   896330.00
    16066.33    32240.00    03559    31841.00   759630.00
    16074.37    41687.00    03907    41149.00   609120.00
    16082.41    53513.00    04318    60270.00   469690.00
    16090.45    88459.00    05322    97062.00   353750.00
    16098.50   155493.00    06862   162079.00   263620.00
    16106.56   264652.00    08824   265193.00   196520.00
    16114.61   416266.00    11004   409559.00   147680.00
    16122.67   605686.00    13259   584537.00   112490.00
    16130.72   783405.00    15097   762718.00    87220.00
    16138.78   917349.00    16366   905956.00    69090.00
    16146.85   953896.00    16685   979999.00    56080.00
    16154.93   943188.00    16613   969438.00    46730.00
    16163.00   877425.00    16070   884446.00    40040.00
    16171.07   769618.00    15038   752884.00    35240.00
    16179.16   636861.00    13699   606118.00    31790.00
    16187.26   494880.00    12085   468571.00    29310.00
    16195.36   368678.00    10497   353400.00    27550.00
    16203.45   286932.00    09313   263758.00    26330.00
    16211.55   206628.00    07964   196712.00    25550.00
    16219.66   160006.00    07081   147768.00    25190.00
    16227.78   123078.00    06293   112522.00    25340.00
    16235.89    90014.00    05492    87254.00    26130.00
    16244.01    77573.00    05162    69165.00    27760.00
    16252.13    60874.00    04678    56211.00    30300.00
    16260.24    51820.00    04395    46933.00    33600.00
    16268.37    43751.00    04119    40272.00    37160.00
    16276.52    39500.00    03973    35493.00    40210.00
    16284.65    39420.00    03985    32080.00    41970.00
    16292.78    32175.00    03708    29650.00    42050.00
    16300.93    35229.00    03834    27949.00    40140.00
    16309.09    36351.00    03876    26836.00    37600.00
    16317.25    35451.00    03856    26274.00    34640.00
    16325.40    38455.00    03976    26340.00    31820.00
    16333.56    37063.00    03923    27230.00    29430.00
    16341.74    35090.00    03855    29211.00    27560.00
    16349.90    40032.00    04055    32476.00    26160.00
    16358.06    40411.00    04068    36950.00    25150.00
    16366.26    44474.00    04214    42118.00    24430.00
    16374.45    47171.00    04323    46969.00    23910.00
    16382.63    43590.00    04205    50343.00    23550.00
    16390.82    48563.00    04378    51423.00    23300.00
    16399.01    50189.00    04449    50065.00    23120.00
    16407.21    41213.00    04133    46377.00    23000.00
    16415.41    37441.00    03999    42206.00    22920.00
    16423.62    41411.00    04154    37942.00    22870.00
    16431.83    40224.00    04118    34166.00    22830.00
    16440.05    33780.00    03872    31114.00    22810.00
    16448.28    34196.00    03902    28797.00    22810.00
    16456.50    26155.00    03574    27100.00    22800.00
    16464.74    24277.00    03499    25878.00    22810.00
    16472.96    30203.00    03763    25011.00    23240.00
    16481.18    27324.00    03643    24397.00    23280.00
    16489.44    27275.00    03641    23963.00    23330.00
    16497.69    29094.00    03730    23659.00    23390.00
    16505.93    25884.00    03601    23447.00    23460.00
    16514.18    22182.00    03438    23300.00    23530.00
    16522.44    26621.00    03646    23200.00    23610.00
    16530.69    22170.00    03451    23134.00    23710.00
    16538.96    23638.00    03522    23091.00    23820.00
    16547.23    23874.00    03539    23065.00    23940.00
    16555.50    26842.00    03675    23051.00    24120.00
    16563.78    25056.00    03598    23046.00    24360.00
    16572.07    29286.00    03791    23522.00    24740.00
    16580.35    26536.00    03675    23564.00    25410.00
    16588.65    27036.00    03703    23615.00    26740.00
    16596.95    23907.00    03573    23673.00    29560.00
    16605.25    19796.00    03393    23740.00    35650.00
    16613.55    20227.00    03419    23815.00    48520.00
    16621.85    18468.00    03343    23900.00    74310.00
    16630.15    24056.00    03606    23998.00   122110.00
    16638.47    24558.00    03629    24111.00   202510.00
    16646.80    26096.00    03703    24245.00   322890.00
    16655.13    19618.00    03417    24395.00   479730.00
    16663.46    19329.00    03410    24607.00   653520.00
    16671.79    27152.00    03768    24906.00   810140.00
    16680.12    31225.00    03947    25378.00   912150.00
    16688.45    25865.00    03726    26227.00   935250.00
    16696.80    26154.00    03739    27922.00   879060.00
    16705.14    26145.00    03752    31499.00   765280.00
    16713.49    32217.00    04008    39122.00   625420.00
    16721.85    40648.00    04345    54938.00   487100.00
    16730.21    65296.00    05201    85787.00   367660.00
    16738.57   120364.00    06732   141080.00   273140.00
    16746.95   214265.00    08740   230666.00   202170.00
    16755.32   356922.00    11170   358962.00   150650.00
    16763.70   524284.00    13462   518489.00   113850.00
    16772.09   711323.00    15675   686240.00    87690.00
    16780.47   849702.00    17183   826646.00    69210.00
    16788.85   950782.00    18175   906101.00    56130.00
    16797.25   942807.00    18089   906902.00    46840.00
    16805.66   852921.00    17254   834797.00    40260.00
    16814.05   747038.00    16169   714735.00    35610.00
    16822.46   609284.00    14606   576741.00    32310.00
    16830.88   468034.00    12848   445371.00    29960.00
    16839.29   336181.00    10981   334761.00    28290.00
    16847.69   251888.00    09569   248491.00    27100.00
    16856.13   189949.00    08388   184183.00    26260.00
    16864.57   145303.00    07451   137757.00    25650.00
    16872.99   109629.00    06593   104741.00    25220.00
    16881.43    86986.00    05975    81315.00    24910.00
    16889.87    78029.00    05733    64756.00    24680.00
    16898.30    59366.00    05143    53050.00    24520.00
    16906.76    48604.00    04780    44758.00    24410.00
    16915.21    44070.00    04621    38893.00    24320.00
    16923.66    42420.00    04567    34736.00    24260.00
    16932.13    35889.00    04313    31784.00    24220.00
    16940.60    31593.00    04154    29688.00    24190.00
    16949.07    28168.00    04008    28197.00    23820.00
    16957.55    32720.00    04207    27132.00    23840.00
    16966.04    32150.00    04192    26371.00    23850.00
    16974.52    28017.00    04024    25826.00    23870.00
    16983.00    24186.00    03861    25435.00    23890.00
    16991.49    25499.00    03928    25152.00    23910.00
    16999.99    30671.00    04153    24948.00    23930.00
    17008.48    28135.00    04059    24799.00    23950.00
    17016.98    30790.00    04173    24692.00    23970.00
