         TOF        Yobs    sYobs        Ycal     YcalBad
    11755.31   282372.00    04943   301583.00    34510.00
    11761.19   247010.00    04629   250827.00    31400.00
    11767.07   195844.00    04129   205071.00    28960.00
    11772.95   156429.00    03699   166486.00    27050.00
    11778.83   130938.00    03394   135281.00    25550.00
    11784.71   109891.00    03118   110494.00    24370.00
    11790.61    86979.00    02780    90940.00    23450.00
    11796.50    73723.00    02577    75608.00    22720.00
    11802.40    60118.00    02334    63602.00    22150.00
    11808.31    48594.00    02113    54179.00    21710.00
    11814.22    46011.00    02063    46805.00    21350.00
    11820.13    39812.00    01931    41035.00    21080.00
    11826.04    33548.00    01787    36519.00    20860.00
    11831.95    33680.00    01793    32983.00    20690.00
    11837.86    31278.00    01736    30214.00    20550.00
    11843.77    29752.00    01699    28045.00    20450.00
    11849.70    25965.00    01597    26342.00    20360.00
    11855.63    24017.00    01549    25008.00    20300.00
    11861.55    23200.00    01524    23962.00    20250.00
    11867.48    21549.00    01481    23142.00    20200.00
    11873.41    21266.00    01471    22498.00    20170.00
    11879.35    20803.00    01459    21991.00    19950.00
    11885.29    22537.00    01513    21594.00    19950.00
    11891.23    21856.00    01495    21281.00    19950.00
    11897.17    21498.00    01487    21035.00    19960.00
    11903.13    21462.00    01484    20841.00    19960.00
    11909.09    19641.00    01434    20689.00    19970.00
    11915.03    20922.00    01476    20568.00    19970.00
    11920.98    20608.00    01465    20473.00    19970.00
    11926.96    20958.00    01478    20398.00    19980.00
    11932.91    19645.00    01443    20338.00    19980.00
    11938.87    20680.00    01474    20291.00    19980.00
    11944.84    20342.00    01465    20253.00    19990.00
    11950.81    21389.00    01500    19991.00    20010.00
    11956.80    20995.00    01486    19995.00    20020.00
    11962.79    19165.00    01435    19999.00    20020.00
    11968.76    19452.00    01446    20002.00    20030.00
    11974.75    20016.00    01463    20006.00    20030.00
    11980.74    18263.00    01413    20009.00    20040.00
    11986.73    19445.00    01449    20013.00    20040.00
    11992.71    20044.00    01474    20017.00    20050.00
    11998.70    20032.00    01472    20020.00    20060.00
    12004.70    20193.00    01479    20024.00    20070.00
    12010.71    19762.00    01468    20027.00    20080.00
    12016.71    19927.00    01475    20031.00    20090.00
    12022.73    21236.00    01514    20034.00    20110.00
    12028.75    20909.00    01510    20062.00    20140.00
    12034.75    20990.00    01515    20067.00    20190.00
    12040.77    19039.00    01452    20073.00    20300.00
    12046.80    20408.00    01498    20079.00    20540.00
    12052.82    22423.00    01566    20085.00    21220.00
    12058.84    20521.00    01506    20092.00    22220.00
    12064.87    18343.00    01438    20099.00    24070.00
    12070.90    19600.00    01481    20106.00    27160.00
    12076.94    19839.00    01491    20115.00    31810.00
    12082.97    22030.00    01562    20124.00    37940.00
    12089.02    19144.00    01470    20135.00    44910.00
    12095.07    20030.00    01504    20149.00    51500.00
    12101.12    20792.00    01527    20168.00    56310.00
    12107.16    19746.00    01499    20198.00    58340.00
    12113.21    19035.00    01475    20253.00    57400.00
    12119.28    20084.00    01511    20361.00    54110.00
    12125.34    21790.00    01567    20789.00    49540.00
    12131.41    22212.00    01582    21279.00    44730.00
    12137.47    25748.00    01689    22251.00    40530.00
    12143.53    26434.00    01711    24057.00    37550.00
    12149.60    29193.00    01791    27135.00    36490.00
    12155.68    32082.00    01866    31865.00    38580.00
    12161.76    40186.00    02075    38275.00    45970.00
    12167.84    45391.00    02192    45809.00    62000.00
    12173.92    49490.00    02291    53269.00    90750.00
    12180.00    52068.00    02343    59142.00   135400.00
    12186.09    55646.00    02421    62186.00   195860.00
    12192.18    52194.00    02353    61945.00   265930.00
    12198.28    46912.00    02242    58905.00   333580.00
    12204.37    48931.00    02289    54146.00   384390.00
    12210.48    49029.00    02289    48857.00   407380.00
    12216.59    45020.00    02209    44052.00   399550.00
    12222.70    43187.00    02165    40517.00   366530.00
    12228.81    39514.00    02086    39067.00   318770.00
    12234.92    40674.00    02112    40977.00   266800.00
    12241.05    46725.00    02254    48427.00   217930.00
    12247.16    58648.00    02516    64585.00   176100.00
    12253.27    91238.00    03102    93143.00   142000.00
    12259.41   137979.00    03788   136917.00   114870.00
    12265.55   202293.00    04590   194823.00    93680.00
    12271.68   271278.00    05317   260185.00    77250.00
    12277.80   341525.00    05973   321576.00    64500.00
    12283.94   367649.00    06191   365934.00    54600.00
    12290.10   381647.00    06316   383737.00    46910.00
    12296.24   373708.00    06273   373261.00    40960.00
    12302.38   349702.00    06061   340450.00    36360.00
    12308.54   297671.00    05599   294949.00    32780.00
    12314.69   248969.00    05129   246346.00    30000.00
    12320.85   200661.00    04615   201205.00    27850.00
    12327.00   161308.00    04150   162674.00    26160.00
    12333.16   133750.00    03791   131367.00    24870.00
    12339.33   107090.00    03399   106557.00    23870.00
    12345.50    89846.00    03135    87199.00    23090.00
    12351.67    71997.00    02817    72171.00    22480.00
    12357.86    61715.00    02623    60503.00    22010.00
    12364.03    51920.00    02428    51496.00    21640.00
    12370.20    46405.00    02303    44520.00    21360.00
    12376.39    44521.00    02263    39106.00    21140.00
    12382.58    38251.00    02114    34914.00    20960.00
    12388.78    35114.00    02032    31660.00    20830.00
    12394.98    32708.00    01977    29142.00    20720.00
    12401.17    32569.00    01976    27196.00    20640.00
    12407.37    30979.00    01930    25659.00    20570.00
    12413.58    28956.00    01877    24487.00    20520.00
    12419.79    25496.00    01783    23580.00    20480.00
    12425.99    24976.00    01765    22876.00    20450.00
    12432.21    21530.00    01660    22328.00    20230.00
    12438.42    23725.00    01732    21902.00    20240.00
    12444.64    23371.00    01723    21570.00    20240.00
    12450.86    24245.00    01753    21312.00    20240.00
    12457.09    21877.00    01677    21110.00    20240.00
    12463.32    22036.00    01689    20952.00    20250.00
    12469.56    19137.00    01591    20829.00    20250.00
    12475.79    19102.00    01597    20732.00    20250.00
    12482.02    23043.00    01724    20656.00    20250.00
    12488.27    19846.00    01623    20596.00    20260.00
    12494.52    21592.00    01683    20549.00    20260.00
    12500.76    20392.00    01646    20511.00    20260.00
    12507.01    22650.00    01722    20481.00    20260.00
    12513.26    20935.00    01669    20264.00    20260.00
    12519.51    20992.00    01673    20266.00    20270.00
    12525.77    21286.00    01681    20268.00    20270.00
    12532.03    20961.00    01677    20270.00    20270.00
    12538.30    21972.00    01709    20273.00    20270.00
    12544.58    19734.00    01637    20275.00    20270.00
    12550.85    19654.00    01637    20277.00    20280.00
    12557.13    19038.00    01618    20279.00    20280.00
    12563.41    20410.00    01667    20281.00    20280.00
    12569.69    20600.00    01676    20283.00    20280.00
    12575.97    21673.00    01714    20285.00    20280.00
    12582.25    20493.00    01677    20287.00    20290.00
    12588.54    23316.00    01768    20289.00    20290.00
    12594.83    19653.00    01654    20291.00    20290.00
    12601.13    19302.00    01640    20293.00    20290.00
    12607.44    19403.00    01646    20295.00    20290.00
    12613.75    20735.00    01694    20297.00    20300.00
    12620.05    23171.00    01776    20299.00    20300.00
    12626.36    22263.00    01750    20300.00    20300.00
    12632.67    21738.00    01735    20302.00    20300.00
    12638.98    20955.00    01711    20304.00    20300.00
    12645.31    19900.00    01674    20306.00    20310.00
    12651.63    20623.00    01705    20308.00    20310.00
    12657.96    21842.00    01744    20309.00    20310.00
    12664.28    21352.00    01735    20311.00    20310.00
    12670.60    20339.00    01699    20313.00    20310.00
    12676.94    18309.00    01630    20315.00    20310.00
    12683.28    21048.00    01728    20316.00    20320.00
    12689.62    22574.00    01781    20318.00    20320.00
    12695.98    21575.00    01746    20320.00    20320.00
    12702.33    19312.00    01676    20321.00    20320.00
    12708.67    19702.00    01692    20323.00    20320.00
    12715.03    20328.00    01712    20325.00    20320.00
    12721.38    20984.00    01741    20326.00    20330.00
    12727.74    20681.00    01729    20328.00    20330.00
    12734.11    20488.00    01725    20329.00    20330.00
    12740.48    23808.00    01837    20331.00    20330.00
    12746.85    20858.00    01742    20332.00    20330.00
    12753.22    20314.00    01726    20334.00    20330.00
    12759.59    18506.00    01665    20335.00    20340.00
    12765.98    19925.00    01713    20337.00    20340.00
    12772.36    21746.00    01782    20338.00    20340.00
    12778.75    21755.00    01781    20340.00    20340.00
    12785.15    19517.00    01707    20341.00    20340.00
    12791.53    17392.00    01636    20342.00    20340.00
    12797.92    20165.00    01734    20344.00    20340.00
    12804.32    19773.00    01723    20345.00    20350.00
    12810.72    19244.00    01707    20346.00    20350.00
    12817.12    23084.00    01840    20348.00    20350.00
    12823.54    20870.00    01764    20349.00    20350.00
    12829.96    20544.00    01759    20350.00    20350.00
    12836.37    20178.00    01745    20352.00    20350.00
    12842.79    20550.00    01764    20353.00    20350.00
    12849.20    19285.00    01718    20354.00    20350.00
    12855.64    19944.00    01744    20355.00    20360.00
    12862.07    18988.00    01712    20357.00    20360.00
    12868.50    22912.00    01850    20358.00    20690.00
    12874.93    23243.00    01863    20359.00    20720.00
    12881.36    22456.00    01840    20360.00    20750.00
    12887.81    21632.00    01810    20361.00    20780.00
    12894.26    20773.00    01787    20362.00    20820.00
    12900.70    20307.00    01769    20363.00    20860.00
    12907.15    19392.00    01743    20364.00    20910.00
    12913.60    21072.00    01801    20365.00    20970.00
    12920.06    21055.00    01802    20366.00    21040.00
    12926.52    22698.00    01861    20368.00    21130.00
    12932.98    22938.00    01871    20369.00    21230.00
    12939.45    24185.00    01915    20369.00    21380.00
    12945.91    23586.00    01898    20370.00    21600.00
    12952.39    22077.00    01845    20752.00    21970.00
    12958.86    23898.00    01913    20782.00    22680.00
    12965.34    26050.00    01980    20816.00    24150.00
    12971.83    23288.00    01893    20854.00    27330.00
    12978.31    20573.00    01807    20897.00    34120.00
    12984.79    21160.00    01825    20945.00    48060.00
    12991.28    19865.00    01782    21001.00    74900.00
    12997.79    22810.00    01882    21066.00   122280.00
    13004.30    22194.00    01868    21141.00   197210.00
    13010.79    23700.00    01921    21232.00   301600.00
    13017.30    23842.00    01924    21344.00   428210.00
    13023.81    21363.00    01847    21491.00   557450.00
    13030.32    20783.00    01824    21701.00   662620.00
    13036.84    21861.00    01864    22035.00   720240.00
    13043.36    23078.00    01908    22638.00   719730.00
    13049.89    25997.00    02007    23839.00   667730.00
    13056.41    24816.00    01971    26370.00   582520.00
    13062.93    27335.00    02054    31758.00   484920.00
    13069.46    36717.00    02334    42909.00   391020.00
    13076.00    53526.00    02760    64738.00   309440.00
    13082.53    94799.00    03614   104035.00   243050.00
    13089.07   159428.00    04636   167981.00   190920.00
    13095.63   264595.00    05952   260746.00   150620.00
    13102.17   385872.00    07203   377812.00   119860.00
    13108.70   510687.00    08281   504214.00    96380.00
    13115.26   623663.00    09169   616266.00    78440.00
    13121.83   667565.00    09479   689011.00    64740.00
    13128.40   677244.00    09579   707285.00    54310.00
    13134.95   644308.00    09351   672315.00    46370.00
    13141.52   581770.00    08868   598496.00    40310.00
    13148.09   483987.00    08110   505885.00    35680.00
    13154.66   405341.00    07410   412053.00    32150.00
    13161.25   321379.00    06607   327824.00    29460.00
    13167.83   252424.00    05868   257929.00    27400.00
    13174.41   203261.00    05280   202449.00    25820.00
    13181.00   157094.00    04661   159452.00    24620.00
    13187.58   126143.00    04196   126513.00    23700.00
    13194.17    93313.00    03637   101381.00    22990.00
    13200.77    81498.00    03408    82197.00    22450.00
    13207.38    68247.00    03141    67570.00    22030.00
    13213.98    59966.00    02969    56462.00    21710.00
    13220.58    47069.00    02657    48006.00    21460.00
    13227.20    44255.00    02587    41552.00    21260.00
    13233.82    41888.00    02528    36635.00    21110.00
    13240.43    36096.00    02371    32890.00    21000.00
    13247.05    32791.00    02278    30033.00    20900.00
    13253.66    30668.00    02216    27853.00    20830.00
    13260.29    30999.00    02224    26184.00    20770.00
    13266.92    26682.00    02096    24909.00    20400.00
    13273.55    24571.00    02024    23933.00    20400.00
    13280.20    26389.00    02086    23183.00    20400.00
    13286.84    26198.00    02083    22607.00    20400.00
    13293.49    23491.00    01994    22164.00    20400.00
    13300.14    23036.00    01981    21822.00    20400.00
    13306.78    23424.00    01997    21558.00    20400.00
    13313.43    25740.00    02077    21352.00    20400.00
    13320.09    21072.00    01915    21192.00    20400.00
    13326.75    23488.00    02006    21066.00    20400.00
    13333.41    23555.00    02006    20967.00    20400.00
    13340.09    23118.00    01993    20888.00    20400.00
    13346.75    23959.00    02029    20825.00    20400.00
    13353.41    22549.00    01978    20775.00    20400.00
    13360.09    22055.00    01963    20402.00    20400.00
    13366.78    17841.00    01807    20402.00    20400.00
    13373.47    21149.00    01936    20402.00    20400.00
    13380.15    23261.00    02013    20402.00    20400.00
    13386.84    24894.00    02066    20402.00    20400.00
    13393.53    23274.00    02018    20402.00    20400.00
    13400.23    24429.00    02055    20402.00    20400.00
    13406.93    25601.00    02097    20402.00    20400.00
    13413.64    21877.00    01971    20402.00    20400.00
    13420.35    25406.00    02096    20402.00    20400.00
    13427.05    24689.00    02074    20402.00    20400.00
    13433.76    21880.00    01979    20402.00    20400.00
    13440.48    24376.00    02064    20402.00    20400.00
    13447.21    25039.00    02094    20402.00    20400.00
    13453.93    23777.00    02048    20402.00    20400.00
    13460.65    24110.00    02067    20402.00    20400.00
    13467.37    23751.00    02052    20402.00    20400.00
    13474.11    19512.00    01902    20402.00    20400.00
    13480.85    21723.00    01985    20402.00    20400.00
    13487.59    23814.00    02062    20402.00    20400.00
    13494.33    21013.00    01965    20402.00    20400.00
    13501.08    21763.00    01990    20402.00    20400.00
    13507.83    19075.00    01898    20402.00    20400.00
    13514.59    15699.00    01764    20402.00    20400.00
    13521.35    20358.00    01946    20402.00    20400.00
    13528.11    19847.00    01934    20402.00    20400.00
    13534.86    19105.00    01904    20402.00    20400.00
    13541.63    20207.00    01948    20402.00    20400.00
    13548.40    20604.00    01965    20402.00    20400.00
    13555.18    22237.00    02022    20402.00    20400.00
    13561.96    19444.00    01927    20402.00    20400.00
    13568.73    20234.00    01959    20401.00    20400.00
    13575.52    19093.00    01914    20401.00    20400.00
    13582.32    18541.00    01895    20401.00    20400.00
    13589.10    19958.00    01956    20401.00    20400.00
    13595.88    19372.00    01932    20401.00    20400.00
    13602.68    21115.00    02000    20401.00    20400.00
    13609.50    21593.00    02015    20401.00    20400.00
    13616.31    17772.00    01878    20401.00    20400.00
    13623.11    18652.00    01915    20401.00    20400.00
    13629.93    18682.00    01914    20400.00    20400.00
    13636.74    19123.00    01938    20400.00    20400.00
    13643.55    19129.00    01937    20400.00    20400.00
    13650.38    19125.00    01939    20400.00    20400.00
    13657.21    16674.00    01846    20400.00    20400.00
    13664.04    19510.00    01959    20400.00    20400.00
    13670.87    21382.00    02031    20400.00    20400.00
    13677.70    20183.00    01990    20400.00    20400.00
    13684.53    21474.00    02040    20400.00    20400.00
    13691.38    19779.00    01975    20399.00    20400.00
    13698.22    20463.00    02008    20399.00    20400.00
    13705.07    20267.00    01999    20399.00    20400.00
    13711.93    21077.00    02032    20399.00    20400.00
    13718.79    20683.00    02020    20399.00    20400.00
    13725.65    19985.00    01997    20399.00    20400.00
    13732.51    21573.00    02059    20399.00    20400.00
    13739.37    16926.00    01883    20399.00    20400.00
    13746.25    14628.00    01787    20399.00    20400.00
    13753.12    18598.00    01955    20398.00    20400.00
    13760.00    14650.00    01793    20398.00    20400.00
    13766.87    18753.00    01966    20398.00    20400.00
    13773.75    18888.00    01970    20398.00    20400.00
    13780.64    18939.00    01975    20398.00    20400.00
